Song Name,Original Artist,Times Played,Debut,Last Seen,Current Gap
Long Cool Woman in a Black Dre...,The Hollies,3,1983-12-02,2003-12-01,327
Thunderhead,Trey Anastasio,6,2003-01-02,2003-12-01,327
Chariots of Fire,Vangelis,1,2003-08-03,2003-08-03,330
Discern,Trey Anastasio,4,2003-07-08,2003-08-02,331
Spread It 'Round,Phish,2,2003-07-15,2003-08-02,331
Tower Jam,Phish,1,2003-08-02,2003-08-02,331
Spock's Brain,Phish,8,1995-05-14,2003-07-30,334
You Ain't Goin' Nowhere,Bob Dylan,1,2003-07-30,2003-07-30,334
Fooled Around and Fell in Love,Elvin Bishop,1,2003-07-29,2003-07-29,335
Magilla,Phish,70,1990-09-13,2003-07-22,340
Dust in the Wind,Kansas,1,2003-07-18,2003-07-18,343
Low Rider,War,7,1985-09-27,2003-07-15,345
